vendor,current_price,old_price
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,9.94,15.48
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,2.97,4.47
Walmart,4.47,5.77
Walmart,4.47,5.77
Walmart,4.47,5.77
Walmart,1.67,2.67
Walmart,1.67,2.67
Walmart,1.67,2.67
Walmart,1.67,2.67
Walmart,1.67,2.67
Walmart,1.97,2.77
Walmart,1.97,2.77
Walmart,1.97,2.77
Walmart,1.97,2.77
Walmart,1.97,2.77
Walmart,1.97,2.77
Walmart,1.97,2.77
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,4.57,5.78
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,2.97,4.77
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,4.97,6.97
Walmart,1.97,2.47
Walmart,1.97,2.47
Walmart,1.97,2.47
Walmart,1.97,2.47
Walmart,1.97,2.47
Walmart,1.97,2.47
Walmart,1.97,2.47
Walmart,5.97,6.97
Walmart,5.97,6.97
Walmart,5.97,6.97
Walmart,5.97,6.97
Walmart,5.97,6.97
Walmart,5.97,6.97
Walmart,5.97,6.97
Walmart,5.97,6.97
Walmart,5.97,6.97
Walmart,5.97,6.97
Walmart,5.97,6.97
Walmart,5.97,6.97
Walmart,5.97,6.97
Walmart,5.97,6.97
Walmart,5.97,6.97
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
Walmart,1.97,3.47
